Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Primary Site,"The UBERON identifier of the organ or part of the body where the disease began, i.e. the primary/original disease site (see https://www.ebi.ac.uk/ols4/ontologies/uberon). Reference-validated, not a fixed list.",,,,"CDE:14883047, CRDC_CDE:14883047",,string,,^UBERON:\d+$,,,,
Site of Origin,"The UBERON identifier of the anatomic site of origin of the patient's, biospecimen donor's, or model's malignant disease (see https://www.ebi.ac.uk/ols4/ontologies/uberon).",,,,"CDE:14156279, CRDC_CDE:14883072",,string,,^UBERON:\d+$,,,,
Known Metastasis Sites,The UBERON identifier(s) of the anatomic site(s) of metastasis associated with the malignant disease of the individual or biospecimen donor (see https://www.ebi.ac.uk/ols4/ontologies/uberon). Provide multiple values as a comma-separated list.,,,,"CDE:2856440, CRDC_CDE:15114457",,string_list,,^UBERON:\d+$,,,,
Disease Type,"The type of tumor associated with the individual, biospecimen, or model. Multiple values permitted, comma separated.","Acinar Cell Neoplasms, Adenomas and Adenocarcinomas, Adnexal and Skin Appendage Neoplasms, Basal Cell Neoplasms, Blood Vessel Tumors, Complex Mixed and Stromal Neoplasms, Cystic; Mucinous and Serous Neoplasms, Ductal and Lobular Neoplasms, Epithelial Neoplasms; NOS, Fibroepithelial Neoplasms, Fibromatous Neoplasms, Germ Cell Neoplasms, Giant Cell Tumors, Gliomas, Granular Cell Tumors and Alveolar Soft Part Sarcomas, Immunoproliferative Diseases, Leukemias, Lipomatous Neoplasms, Lymphatic Vessel Tumors, Mast Cell Neoplasm, Meningiomas, Mesothelial Neoplasms, Miscellaneous Bone Tumors, Miscellaneous Tumors, Mucoepidermoid Neoplasms, Myelodysplastic Syndromes, Myomatous Neoplasms, Myxomatous Neoplasms, Neoplasms; NOS, Nerve Sheath Tumors, Neuroepitheliomatous Neoplasms, Nevi and Melanomas, Not Applicable, Not Otherwise Specified, Not Reported, Odontogenic Tumors, Osseous and Chondromatous Neoplasms, Paragangliomas and Glomus Tumors, Plasma Cell Neoplasm, Soft Tissue Tumors and Sarcomas; NOS, Squamous Cell Neoplasms, Synovial-like Neoplasms, Thymic Epithelial Neoplasms, Transitional Cell Papillomas and Carcinomas, Trophoblastic neoplasms, Unknown",,,CDE:13471160,,string_list,,,,,,
Tumor Subtype,"The molecular or histologic subtype of the tumor associated with the individual, biospecimen, or model.",,,,,,string_list,,,,,,
Species,"The species of origin corresponding to the model, or from which the biospecimen originates.","African Bush Elephant, Armadillo, Asian Elephant, Boar, Cat, Chicken, Candida albicans, Cow, Dog, Escherichia coli, Guinea Pig, Horse, Human, Human Patient, Human Cell Line, Macaca nemestrina, Mouse, Multispecies, Not Applicable, Opossum, Rabbit, Rat, Rhesus monkey, Schizosaccharomyces pombe, Sheep, Trichoplax adhaerens, Unknown, Unspecified, Worm, Yeast, Fruit Fly, Zebrafish",,True,,,string_list,,,,,,
Days to Treatment,Number of days between the date used for index and the date the treatment started.,,,,,,number,,,,,,
ICD-10-CM Disease Code,"An alphanumeric value from the tenth version of the International Classification of Disease (ICD-10-CM) used to identify the diagnosis (e.g. C80.1). Reference-validated against the ICD-10-CM code system, not a fixed list.",,,,CRDC_CDE:11479873,,string,,"^[A-Z][0-9]{2}(\.[0-9A-Z]{1,4})?-?$",,,,
Treatment Anatomic Site,The UBERON identifier of the organ or part of the body targeted by a therapeutic procedure (see https://www.ebi.ac.uk/ols4/ontologies/uberon).,,,,CRDC_CDE:14461856,,string,,^UBERON:\d+$,,,,
Assay,"The assay the dataset, file, or publication is representative of. Multiple values permitted, comma separated.","10-cell RNA Sequencing, 16S Ribosomal Gene Sequencing Assay, 3' RNA-seq, 3C, 3C-qPCR, 3D ATAC-PALM, 3D Bioprinting, 3D Cell Culture, 4C, 5C, ATAC-Seq, ATP Bioluminescence Assay, Affinity Purification Mass Spectrometry, Allograft, Amplicon Sequencing, Angiogenesis Assay, Apoptosis Assay, Atomic Absorption Spectrophotometry, Atomic Absorption Spectroscopy, Atomic Force Microscopy, Autoradiography, Barcode-Seq, Bicinchoninic Acid Assay, Binding Assay, Bio-Layer Interferometry, Bioluminescence Imaging, Bisulfite Sequencing, Brightfield Microscopy, Brillouin Microscopy, CASFISH, CITE-seq, CLIP-qPCR, CRISPR, CUT&RUN, CUT&Tag-Sequencing, Cell Adhesion Assay, Cell Proliferation Assay, Cell Viability Assay, Cell-spreading Assay, CellTiter-Glo Luminescent Cell Viability Assay, Cerenkov Luminescence Imaging, ChIA-PET, ChIP-PCR, ChIP-Seq, ChIP-qPCR assay, Chemiluminescent Assay, Chemotaxis Assay, Circular Dichroism Spectroscopy, Co-Immunoprecipitation, Co-culture Assay, Collision-Induced Dissociation, Colorimetric Cell Viability Assay, Computational Modeling, Computational Tool, Computed Tomography, Confocal Microscopy, Confocal Reflectance Quantitative Phase Microscopy, Cross-Linking Immunoprecipitation High-throughput Sequencing, Cross-Linking Mass Spectrometry, Cyclic Immunofluorescence, Cytochemical Stain, Cytokine Expression Profile, Cytometric Bead Array Assay, Cytotoxicity Assay, DBiT-Seq, DNA Gene-Expression Microarray, DNA Methylation Array, DNA Sequencing, DNase-Seq, DRIP-seq, Dark Field Microscopy, Deep Mutational Scanning, Desorption Electrospray Ionization, Dideoxy Chain Termination DNA Sequencing, Differential Interference Contrast Microscopy, Differential Scanning Fluorimetry, Diffusion Weighted Imaging, Direct Long-Read RNA Sequencing, Drop-Seq, Droplet Digital PCR, Dual-Luciferase Reporter Assay, Dye Endocytosis Assay, Dynamic Contrast-Enhanced Magnetic Resonance Imaging, Dynamic Force Spectroscopy, Dynamic Light Scattering, Dynamic Susceptibility Contrast-Enhanced Magnetic Resonance Imaging, ELISA, Efferocytosis Assay, Electron Diffraction, Electron Microscopy, Electron Paramagnetic Resonance Spectroscopy, Electrophoretic Mobility Shift Assay, Electrospray Ionization Time-of-Flight Mass Spectrometry, Endotoxin Assay, Energy-Dispersive X-Ray Spectroscopy, Enzyme Activity Assay, Enzyme-Linked Immunospot Assay, Epidemiological Method, FAIRE-Seq, FISH, Flow Cytometry, Fluorescence Activated Cell Sorting, Fluorescence Correlation Spectroscopy, Fluorescence Imaging, Fluorescence Lifetime Imaging Microscopy, Fluorescence Microscopy, Fluorescence Recovery After Photo-Bleaching, Fluorescent Antibody Procedure, Fluorescent Cell Barcoding, Fluorescent In Situ Sequencing, Focused Ion Beam Scanning Electron Microscopy, Forster Resonance Energy Transfer, Fourier Transform Ion Cyclotron Resonance Mass Spectrometry, Fourier-Transform Infrared Spectroscopy, Gas Chromatography Mass Spectrometry, Gelatin Zymography, Genotyping, Global Chromatin Profiling, Global Run-On Sequencing, Graphite Furnace Atomic Absorption Spectrometry, HL-Chip, HPLC-MSMS, Hematoxylin and Eosin Staining Method, Hi-C, HiChIP, High Throughput Screening, High-Content Screen, Hydrogels, Hydrophilic Interaction Chromatography, Image Cytometry, Imaging, Immobilized Metal Affinity Chromatography, ImmunoFISH, Immunoassay, Immunocytochemistry, Immunohistochemistry Staining Method, Immunoprecipitation, In Situ Hybridization, In Vitro Cell Killing Assay, In Vitro Model, In Vitro Selection, In Vitro Translation, In Vivo Bioluminescence, In-Cell Western Assay, Inductively-Coupled Plasma Mass Spectrometry, Interference Reflection Microscopy, Intravital Microscopy, Invasion Assay, Karyotyping, Knife-Edge Scanning Microscopy, L1000 mRNA Profiling Assay, Lattice Light Sheet Microscopy, Liquid Chromatography Mass Spectrometry, Liquid Chromatography/Tandem Mass Spectrometry, Low-Vacuum Scanning Electron Microscopy, Luciferase Reporter Assay, Luminescent Cell Viability Assay, MALDI-TOF Mass Spectrometry, MEMA Cell Growth Assay, MNase-Seq, MULTI-Seq, Macrophage Polarization Assay, Magnetic Resonance Imaging, Magnetic Tweezers, Magnetic Twisting Cytometry, Magnetically Activated Cell Sorting, Mammosphere Formation Assay, Mass Cytometry, Mass Spectrometry, Mathematical Modeling, MeDIP, MeRIP-Seq, Methyl Binding Domain Sequencing, Methylation-Specific PCR, Micro-computed Tomography, MicroRNA Expression Array, MicroRNA Sequencing, Microcontact Printing, Microfluidics, Micropipette Adhesion Assay, Micropipette Aspiration, Microscopy, Migration Assay, Mint-ChIP, Modeling, Molecular Simulations, Monolayer Stress Microscopy, Multi-Angle Light Scattering, Multi-Isotope Mass Spectrometry, Multiparametric Magnetic Resonance Imaging, Multiphoton Microscopy, Multiplexed Error-Robust Fluorescence In Situ Hybridization, Multiplexed Immunofluorescence, Multiplexed Immunohistochemistry, Multiplexed Ion Beam Imaging, Murine Model, Nano-hmC-Seal, NanoString Digital Spatial Profiling, Nanopatterning, Nanopore Sequencing, Nanowire, Nested PCR, Next Generation Sequencing, Nm-seq, Not Applicable, Nuclear Magnetic Resonance, Optical Coherence Tomography, Optical Emission Spectroscopy, Optical Mapping, Optical Stretcher, Optical Tweezers, Optogenetic Assay, Organoid, PCR, PET-CT, Paraquat Survival Assay, Partial Wave Spectroscopy, Patient Derived Xenograft, Pending Annotation, Permeability Assay, Phagocytosis Assay, Photoacoustic Imaging, Photolithography, Plasmid Construction, PlateSeq, Point Accumulation for Imaging in Nanoscale Topography, Positron Emission Tomography, Precision Run-On Sequencing, Proteomics Assay, Proximity Ligation Assay, Pull-Down Assay, QFISH, Quantitative Multiplex Immunofluorescence, Quantitative Point Accumulation for Imaging in Nanoscale Topography, Questionnaire, RAS Protein Family Activation Assay, RIP, RIP-Seq, RNA Sequencing, RNAi Screen, RT-PCR, RT-qPCR, Raman Spectroscopy, Reduced Representation Bisulfite Sequencing, Reverse Phase Protein Array, Reverse-Phase High-Performance liquid Chromatography, Rheometry, Ribo-Seq, Ribosomal P Protein Antibody Measurement, Scanning Angle Interference Microscopy, Scanning Electron Microscopy, Second-Harmonic Imaging Microscopy, Shotgun Mass Spectrometry, Single Cell ATAC-Seq, Single Cell Cytokine Detection Chip Assay, Single Cell DNA Sequencing, Single Cell Gel Electrophoresis, Single Cell RNA-Sequencing, Single Molecule Forster Resonance Energy Transfer, Single Nucleotide Polymorphism Array, Single Nucleus RNA-Sequencing, Single-Cell BCR Sequencing, Single-Cell Barcode Chip, Single-Cell TCR Sequencing, Single-Molecule Tracking, Sirius Red Staining, Size Exclusion Chromatography, Small-Angle X-ray Scattering, Soft Agar Assay, Southern Blotting, Spectroscopy, Statistical Modeling, Stimulated Emission Depletion Microscopy, Stimulated Raman Scattering, Stochastic Optical Reconstruction Microscopy, Super-Resolution Microscopy, Surface Plasmon Resonance, Surveyor Nuclease Assay, Synaptophysin Staining Method, Synthetic Genetic Array, TAB-Seq, TCR Sequencing, TIRF Microscopy, TRAP Staining, TUNEL assay, Tandem Mass Spectrometry, Tandem Mass Tagging, Target Engagement Assay, Targeted Genome Sequencing, Targeted Transcriptome Sequencing, Thermal Shift Assay, Thin-Layer Chromatography, Tiling Array, Time Lapse Microscopy, Time-Correlated Single Photon Counting, Tissue Engineering, Tissue Microarray, Total Internal Reflection Fluorescence Microscopy, Traction Force Microscopy, Transmission Electron Microscopy, Transwell Assay, UPLC-MSMS, UV Photocrosslinking, Unspecified, Vibrational Spectroscopy, Virus Plaque Assay, Von Kossa Staining, Western Blotting, Whole Exome Sequencing, Whole Genome Bisulfite Sequencing, Whole Genome Sequencing, Widefield Fluorescence Microscopy, Wound-Healing Assay, X-Ray Crystallography, X-Ray Diffraction, X-Ray Micro-Computed Tomography, Xenograft, cDNA Array, eCLIP-Seq, mRNA Sequencing, qPCR, scCGI-seq, scNT-Seq, scSLAM-seq, seqFISH, shRNA, siRNA, smFISH, smRNA-seq, snRNA-seq, Isothermal Titration Calorimetry, Suspended Microchannel Resonator, 10x Multiome, Visium Spatial Gene Expression, Antitumor Drug Screening Assay, Bioelectrochemical Analysis, Chimeric Antigen Receptor T-Cell Therapy, Cell Cycle Assay, Clonality Analysis, Comparative Genomic Hybridization, Cryo-Electron Microscopy, Cryo-Electron Tomography, Data Integration, Field-Emission Scanning Electron Microscopy, Label-free Protein Quantification by LC/MS, Metabolite Profiling Assay, Reporter Gene Assay, Single-Molecule Localization Microscopy, Synthesis, Targeted Therapy Agent, Trichrome Staining Method, Ultrasound Imaging, Transcription profiling by NanoString, Alcian Blue Staining Method, Artificial Intelligence, Cell Culture, Clinical Study, Cell-free Circulating Tumor DNA Assay, Co-Immunoprecipitation Mass Spectrometry, Deep Learning, Gene Ontology Enrichment Analysis, Gene Set Enrichment Analysis, Gene Silencing , Human Induced Pluripotent Stem Cell-derived Cardiomyocytes Culture, Imaging Mass Cytometry, Immunofluorescent Staining Method, Immunotherapy, Viral Transduction, Metastatic Colonization Assay, Phylogenetic Analysis, Picrosirius Staining, Scratch Assay, Structural Variant Analysis, Survival Analysis, Targeted Error Correction Sequencing, Tuba-Seq, SDS-PAGE, Cell Fractionation, Multiscale Light Sheet Microscopy, Light Sheet Microscopy, CODEX, in vivo tumor growth, in silico synthesis, RNA array, shRNA-seq, spatial transcriptomics, in vivo PDX viability, histology, proximity extension assay, compound screen, metabolic screening",,True,CRDC_CDE:12373576,,string_list,,,,,,
Tissue,"Tissue type(s) associated with the dataset, file, or publication. Multiple values permitted, comma separated.","Gonad, Abdominal Esophagus, Adipose Tissue, Adrenal Gland, Alveolus, Aorta, Artery, Ascending Colon, Bile Duct, Bladder, Blood, Blood Vessel, Bone, Bone Marrow, Brain, Breast, Caecum, Cancer-Associated Fibroblast, Cardia, Cartilage, Cervix Uteri, Choroid, Colon, Connective and Soft Tissue, Cornea, Duodenum, Ear, Embryo, Embryonic Heart, Endocervix, Endometrium, Endothelium, Epithelium, Esophagus, Eye, Fallopian Tube, Foreskin, Frontal Lobe, Gastroesophageal Junction, Gastrointestinal Tract, Genitourinary, Hair Follicle, Head and Neck, Heart, Heart Muscle, Hematopoietic System, Hippocampus, Intestine, Intra-Abdominal Lymph Nodes, Intrathoracic Lymph Nodes, Joint, Kidney, Larynx, Ligament, Liver, Lung, Lymph, Lymph Node, Lymph Nodes of Axilla or Arm, Lymph Nodes of Inguinal Region or Leg, Lymphatic System, Lymphoid Tissue, Main Bronchus, Mammary Gland, Meninges, Mesenchyme, Mucosa, Muscle, Nasal Cavity, Nervous System, Not Applicable, Olfactory Mucosa, Omentum, Oral Cavity, Oral Mucosa, Ovary, Pancreas, Pelvic Lymph Nodes, Pending Annotation, Periodontal Ligament, Peripheral Nerves, Peritoneum, Pharynx, Pituitary Gland, Placenta, Pleura, Prostate Gland, Rectum, Reproductive System, Respiratory System, Salivary Gland, Sclera, Sinonasal Tract, Skin, Small Intestine, Spinal Cord, Spleen, Stomach, Synovial Membrane, Tendon, Testis, Thymus, Thyroid Gland, Tongue, Tonsil, Trachea, Umbilical Cord, Unspecified, Uterus, Vagina, Vascular Endothelium, Vein, Vertebra, Peripheral Blood Mononuclear Cell",,,,,string_list,,,,,,
Tumor Type,"The tumor type(s), if applicable, associated with the dataset, file, or publication. Multiple values permitted, comma separated.","Cutaneous Melanoma, Acinar Cell Carcinoma, Acute Lymphoblastic Leukemia, Acute Monocytic Leukemia, Acute Myeloid Leukemia, Acute Promyelocytic Leukemia, Adenocarcinoma, Angiosarcoma, Astrocytoma, Atypical Teratoid/Rhabdoid Tumor, B Acute Lymphoblastic Leukemia, B-Cell Non-Hodgkin Lymphoma, Barrett Esophagus, Basal Cell Neoplasm, Basal-Like Breast Carcinoma, Biliary Tract Carcinoma, Bladder Carcinoma, Bladder Neoplasm, Bone Neoplasm, Brain Neoplasm, Breast Adenocarcinoma, Breast Carcinoma, Breast Neoplasm, Carcinoma, Carcinoma In Situ, Castration-Resistant Prostate Carcinoma, Cellular Schwannoma, Central Nervous System Cavernous Hemangioma, Central Nervous System Neoplasm, Cerebellar Neoplasm, Cervical Carcinoma, Cervical Neoplasm, Cervical Small Cell Carcinoma, Cholangiocarcinoma, Chondroblastoma, Choriocarcinoma, Chronic Lymphocytic Leukemia, Chronic Myeloid Leukemia, Clear Cell Renal Cell Carcinoma, Colon Adenocarcinoma, Colon Carcinoma, Colorectal Adenocarcinoma, Colorectal Adenoma, Colorectal Carcinoma, Colorectal Neoplasm, Combined Hepatocellular Carcinoma and Cholangiocarcinoma, Craniopharyngioma, Cutaneous T Cell Lymphoma, Diffuse Large B-Cell Lymphoma, Ductal Breast Carcinoma In Situ, Dysembryoplastic Neuroepithelial Neoplasm, Endometrial Carcinoma, Endometrial Neoplasm, Ependymoma, Esophageal Adenocarcinoma, Esophageal Carcinoma, Esophageal Squamous Cell Carcinoma, Ewing Sarcoma, Extraventricular Neurocytoma, Fibroepithelial Polyp, Fibrolamellar Carcinoma, Fibrosarcoma, Follicular Lymphoma, Gallbladder Carcinoma, Gastric Adenocarcinoma, Gastric Carcinoma, Gastric Neoplasm, Gastroesophageal Adenocarcinoma, Gastroesophageal Junction Adenocarcinoma, Gastrointestinal Stromal Neoplasm, Giant Cell Tumor, Glioblastoma, Glioma, Head and Neck Carcinoma, Head and Neck Neoplasm, Head and Neck Squamous Cell Carcinoma, Hepatocellular Carcinoma, High Grade Ovarian Serous Adenocarcinoma, Histiocytic Sarcoma, Hodgkin Lymphoma, Intestinal Neoplasm, Intrahepatic Cholangiocarcinoma, Invasive Ductal Breast Carcinoma, Kaposi Sarcoma, Leiomyoma, Leukemia, Liver and Intrahepatic Bile Duct Carcinoma, Liver and Intrahepatic Bile Duct Neoplasm, Low Grade Glioma, Luminal A Breast Carcinoma, Lung Adenocarcinoma, Lung Carcinoma, Lung Neoplasm, Lung Non-Small Cell Carcinoma, Lung Small Cell Carcinoma, Lung Squamous Cell Carcinoma, Lymphoid Leukemia, Lymphoma, Malignant Brain Neoplasm, Malignant Digestive System Neoplasm, Malignant Genitourinary System Neoplasm, Malignant Glioma, Malignant Neoplasm, Malignant Ovarian Neoplasm, Malignant Pancreatic Neoplasm, Malignant Peripheral Nerve Sheath Tumor, Malignant Peritoneal Neoplasm, Malignant Skin Neoplasm, Mantle Cell Lymphoma, Marginal Zone Lymphoma, Medulloblastoma, Melanoma, Meningioma, Mesothelioma, Multiple Myeloma, Mycosis Fungoides, Myeloid Leukemia, Myeloid Neoplasm, Myeloproliferative Neoplasm, Myoepithelioma, Nasopharyngeal Carcinoma, Neuroblastoma, Neuroendocrine Neoplasm, Neuroepithelial Neoplasm, Neurofibroma, Non-Functioning Pituitary Gland Adenoma, Non-Hodgkin Lymphoma, Not Applicable, Oral Cavity Neoplasm, Oral Cavity Squamous Cell Carcinoma, Oropharyngeal Neoplasm, Osteosarcoma, Ovarian Adenosarcoma, Ovarian Carcinoma, Ovarian Neoplasm, Ovarian Serous Adenocarcinoma, Pan-cancer, Pancreatic Adenocarcinoma, Pancreatic Carcinoma, Pancreatic Ductal Adenocarcinoma, Pancreatic Neoplasm, Pancreatic Neuroendocrine Carcinoma, Pending Annotation, Penile Carcinoma, Pheochromocytoma, Pilocytic Astrocytoma, Pituitary Gland Adenoma, Plasmablastic Lymphoma, Plasmacytoma, Plexiform Schwannoma, Precursor B-cell lymphoblastic leukemia, Primary Central Nervous System Lymphoma, Primary Myelofibrosis, Prostate Adenocarcinoma, Prostate Carcinoma, Prostate Neoplasm, Rectal Adenocarcinoma, Renal Cell Carcinoma, Retinoblastoma, Rhabdomyosarcoma, Rosette-Forming Glioneuronal Tumor, Salivary Gland Adenoid Cystic Carcinoma, Sarcoma, Schwannoma, Serous Tubal Intraepithelial Carcinoma, Sinonasal Squamous Cell Carcinoma, Skin Carcinoma, Skin Neoplasm, Soft Tissue Sarcoma, Squamous Cell Carcinoma, Synovial Sarcoma, T Acute Lymphoblastic Leukemia, T-Cell Lymphoma, Teratoma, Testicular Embryonal Carcinoma, Thyroid Gland Anaplastic Carcinoma, Thyroid Gland Carcinoma, Thyroid Gland Noninvasive Follicular Neoplasm with Papillary-Like Nuclear Features, Triple-Negative Breast Carcinoma, Urothelial Carcinoma, Uterine Adenosarcoma, Uveal Melanoma, Uveal Neoplasm, Vascular Neoplasm, Not-Applicable, Plexiform Neurofibroma",,,,,string_list,,,,,,
